,name,distance,mass,radius
0,2m 1237+6526,41,45.6,0.94
2,2masp j0345432+254023,74,88,1.05
3,2mass 0036+1821,42,28.6,0.94
5,2mass 0939−2448,32,17.4,0.95
6,2mass 1503+2525,44,20.7,0.94
7,2mass 1507−1627,60,23.9,0.99
9,2mass j00040288-6410358,19,192,1.63
10,2mass j00242463-0158201,79,37.7,1.09
12,2mass j00274197+0503417,31,236,1.44
14,2mass j00332386-1521309 [de],29,131,1.43
15,2mass j00345157+0523050,42,31,0.94
16,2mass j00501994-3322402 [de],40,34,0.94
17,2mass j00584253-0651239 [de],29,96,1.43
18,2mass j01415823-4633574 [de],20,130,1.61
19,2mass j02103857-3015313,15,101,1.53
20,2mass j02340093-6442068,20,155,1.62
21,2mass j02411151-0326587 [de],27,152,1.41
22,2mass j02431371−2453298,33,35,0.99
24,2mass j02535980+3206373,65,184,1.9
25,2mass j03185403-3421292 [de],49,45,0.97
26,2mass j03205965+1854233,88,47,1.15
27,2mass j03231002-4631237,23,192,1.66
28,2mass j03264225-2102057 [de],18,80,1.3
29,2mass j03284265+2302051 [de],54,98,0.98
30,2mass j03341218-4953322,73,27.0,1.04
31,2mass j03510004-0052452,102,48,1.27
32,2mass j03552337+1133437,20,29.8,1.32
33,2mass j04151954−0935066,30,18.6,0.95
34,2mass j04285096-2253227 [de],80,85,1.09
35,2mass j04351612-1606574,100,34,1.26
36,2mass j04362788-4114465,39,142,1.97
37,2mass j04390101-2353083 [de],48,29.5,0.97
39,2mass j04433764+0002040,22,82,1.78
40,2mass j04455387-3048204 [de],64,42,1.0
41,2mass j04510093-3402150 [de],1.04,69,72.0
42,2mass j05002100+0330501 [de],64,44,1.0
43,2mass j05012406-0010452 [de],21,64,1.38
44,2mass j05160945-0445499 [de],47,73,0.97
45,2mass j0523−1403,68,40,1.01
47,2mass j06085283-2753583,38,102,1.51
48,2mass j06244595-4521548 [de],56,39,0.99
49,2mass j06411840-4322329 [de],67,65,1.01
51,2mass j07075327-4900503,72,60,1.03
