,name,distance,mass,radius
123,2m 1237+6526,41,45.6,0.94
351,2m1510,40 + 39 + ?,120,
44,2masp j0345432+254023,74,88,1.05
10,2mass 0036+1821,42,28.6,0.94
63,2mass 0532+8246,83,81,
95,2mass 0939−2448,32,17.4,0.95
143,2mass 1503+2525,44,20.7,0.94
146,2mass 1507−1627,60,23.9,0.99
14,2mass j00034227-2822410,,,
1,2mass j00040288-6410358,19,192,1.63
3,2mass j00242463-0158201,79,37.7,1.09
4,2mass j00250365+4759191ab,,143,
5,2mass j00274197+0503417,31,236,1.44
6,2mass j00275592+2219328,,46.9,
8,2mass j00332386-1521309 [de],29,131,1.43
9,2mass j00345157+0523050,42,31,0.94
13,2mass j00501994-3322402 [de],40,34,0.94
15,2mass j00584253-0651239 [de],29,96,1.43
20,2mass j01415823-4633574 [de],20,130,1.61
26,2mass j02103857-3015313,15,101,1.53
27,2mass j02340093-6442068,20,155,1.62
28,2mass j02411151-0326587 [de],27,152,1.41
29,2mass j02431371−2453298,33,35,0.99
31,2mass j02511327+0047364,,,
33,2mass j02535980+3206373,65,184,1.9
36,2mass j03185403-3421292 [de],49,45,0.97
37,2mass j03205965+1854233,88,47,1.15
38,2mass j03231002-4631237,23,192,1.66
40,2mass j03264225-2102057 [de],18,80,1.3
41,2mass j03284265+2302051 [de],54,98,0.98
42,2mass j03341218-4953322,73,27.0,1.04
46,2mass j03510004-0052452,102,48,1.27
47,2mass j03552337+1133437,20,29.8,1.32
49,2mass j04151954−0935066,30,18.6,0.95
51,2mass j04285096-2253227 [de],80,85,1.09
52,2mass j04351612-1606574,100,34,1.26
53,2mass j04362788-4114465,39,142,1.97
54,2mass j04390101-2353083 [de],48,29.5,0.97
55,2mass j04414489+2301513,19,470,
56,2mass j04433764+0002040,22,82,1.78
57,2mass j04455387-3048204 [de],64,42,1.00
58,2mass j04510093-3402150 [de],1.04,69,72
59,2mass j05002100+0330501 [de],64,44,1.00
60,2mass j05012406-0010452 [de],21,64,1.38
61,2mass j05160945-0445499 [de],47,73,0.97
62,2mass j0523−1403,68,40,1.01
65,2mass j05591914-1404488 [de],,34,
67,2mass j06085283-2753583,38,102,1.51
70,2mass j06244595-4521548 [de],56,39,0.99
71,2mass j06411840-4322329 [de],67,65,1.01
73,2mass j07003664+3157266 [de],,40,
74,2mass j07075327-4900503,72,60,1.03
77,2mass j07290002-3954043 [de],37,25.8,0.94
79,2mass j0746425+200032 [fr],,49.6,
81,2mass j07522390+1612157,2.01,60,68
85,2mass j08251968+2115521 [de],52,35,0.98
91,2mass j08533619-0329321,77,27.6,1.07
96,2mass j09490860-1545485 [de],49,59,0.96
97,2mass j10073369-4555147,44,46,0.94
101,2mass j10224821+5825453 [de],27,60,1.41
103,2mass j1047538+212423 [de],42,34.4,0.94
112,2mass j11145133−2618235,33,18.2,0.96
115,2mass j11544223-3400390 [de],37,129,1.50
119,2mass j12074836-3900043,17,217,1.71
121,2mass j12255432-2739466,,43,
129,2mass j13204427+0409045,67,101,1.01
132,2mass j13595510-4034582,63,51,1.00
177,2mass j14112131-2119503,,,
137,2mass j14392837+1929150,72,47,1.03
139,2mass j14482563+1031590 [de],59,47,0.99
152,2mass j15462718-3325111 [de],44,37,0.94
155,2mass j16150413+1340079 [de],42,48,0.94
157,2mass j16262034+3925190 [de],71,110,1.03
164,2mass j18283572-4849046,45,39,0.95
167,2mass j18432213+4040209,96,46,1.22
168,2mass j20004841-7523070,25,105,1.88
175,2mass j21392676+0220226,46,32.1,0.96
176,2mass j21481628+4003593,55,26.3,0.99
181,2mass j22282889-4310262,42,35,0.94
182,2mass j22373255+3922398,73,64,1.04
184,2mass j23224684-3133231,24,56,1.39
185,2mass j23225299-6151275,17,148,1.59
186,2mass j23515044-2537367,88,67,1.16
17,2massi j0103320+193536,52,70,0.98
19,2massi j0117474-340325 [de],20,163,1.62
76,2massi j0727182+171001 [de],41,29.6,0.94
89,2massi j0835425-081923 [de],62,23.53,1.00
90,2massi j0847287-153237 [de],64,43,1.00
92,2massi j0859254-194926 [de],50,50,0.98
94,2massi j0937347+293142,42,20.0,0.94
98,2massi j1010148-040649 [de],51,55,0.98
99,2massi j1017075+130839 [de],,108,
120,2massi j1217110-031113 [de],42,36,0.94
150,2massi j1526140+204341 [de],54,67,0.98
161,2massi j1726000+153819,24,114,1.40
170,2massi j2057540-025230,70,47,1.02
172,2massi j2104149-103736,69,62,1.02
187,2massi j2356547-155310,80,74,1.09
7,2massw j0030300-145033,54,87.2,0.98
11,2massw j0045214+163445,23,57,1.62
93,2massw j0920122+351742 [de],,95,
102,2massw j1036530-344138 [de],49,53,0.97
114,2massw j1146345+223053,,89,
116,2massw j1155395-372735 [de],64,31,1.00
124,2massw j1239272+551537 [de],,119,
145,2massw j1506544+132106 [de],69,46,1.02
149,2massw j1515008+484742 [de],57,34,0.99
153,2massw j1552591+294849 [de],30,68,1.43
154,2massw j1555157-095605 [de],71,44,1.03
158,2massw j1632291+190441 [de],49,50,0.97
162,2massw j1728114+394859,,79,
166,2massw j1841086+311727,67,138,1.01
171,2massw j2101154+175658,,108,
178,2massw j2206450-421721,22,93,1.33
179,2massw j2208136+292121,27,154,1.41
180,2massw j2224438-015852,61,38,0.99
183,2massw j2244316+204343,12,56,1.29
16,cfbds j005910.90–011401.3,23,30,
144,cfbds j150411+102717,44,71,0.94
140,cfbdsir 1458+10a,11.1,104,1.5
141,cfbdsir 1458+10b,9,104,1.3
109,cha 110913-773444,8,163,1.8
